,Incident.month,Incident.year,Victim.injury,State,Latitude,Longitude,Site.category,Shark.length.m,Provoked/unprovoked,No.sharks,Victim.activity,Present.at.time.of.bite,Shark.behaviour,Injury.location,Injury.severity,Victim.gender,Victim.age,Diversionary.action.taken,Time.of.incident,Data.source,Shark.name
"27,2,1856,injured,VIC,-38.13333333333333,144.41666666666666,coastal,Unknown,unprovoked,1,swimming,[],bit victim on leg,""['foot', 'thigh']"",major lacerations,M,18.0,kick at shark with other foot,2100.0,media outlet,white shark (Carcharodon carcharias)"
28,5,1856,injured,SA,-35.53333333333333,138.68333333333334,coastal,Unknown,unprovoked,1,Unknown,[],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
29,3,1858,fatal,VIC,-37.85,144.9,coastal,Unknown,unprovoked,1,swimming,[],bit victim on leg,['calf'],major lacerations,M,22.0,Unknown,1500.0,media outlet,white shark (Carcharodon carcharias)
30,1,1860,injured,SA,-35.56666666666667,138.6,coastal,Unknown,unprovoked,Unknown,swimming,[],Unknown,['arm'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
"31,1,1861,injured,QLD,-27.516666666666666,153.26666666666668,coastal,Unknown,unprovoked,1,swimming,[],bit victim on hand,""['arm', 'hand']"",minor lacerations,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)"
32,2,1862,injured,VIC,-37.85,144.9,coastal,Unknown,unprovoked,1,swimming,[],grazed leg with fin,['leg'],abrasion,M,Unknown,hit out at shark with arm,Unknown,media outlet,white shark (Carcharodon carcharias)
33,12,1862,fatal,QLD,-27.366666666666667,153.15,river,Unknown,unprovoked,1,swimming,[],bit victim on torso,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
34,1,1863,fatal,NSW,-31.883333333333333,151.46666666666667,river,Unknown,unprovoked,1,swimming,[],bit victim on right thigh,['thigh'],major lacerations,M,17.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"35,1,1863,fatal,QLD,-27.583333333333332,153.31666666666666,coastal,Unknown,provoked,1,swimming,""['boating', 'catch', 'Nearby turtle/s']"",bit victim on legs,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
"36,3,1863,injured,VIC,-37.9,144.98333333333332,coastal,Unknown,unprovoked,1,swimming,[],bit victim on torso,""['torso', 'leg']"",major lacerations,M,Unknown,swam to shore,2000.0,media outlet,white shark (Carcharodon carcharias)"
37,4,1863,fatal,QLD,-26.8,153.13333333333333,coastal,Unknown,unprovoked,2,Unknown,['boating'],bit victim,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
38,11,1865,fatal,VIC,-37.86666666666667,144.86666666666667,coastal,Unknown,unprovoked,Unknown,swimming,[],Unknown,['thigh'],major lacerations,M,33.0,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
39,1,1868,injured,QLD,-23.083333333333332,150.73333333333332,coastal,Unknown,unprovoked,1,swimming,[],bit victims leg off,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
40,1,1869,injured,QLD,-27.466666666666665,153.0,river,Unknown,unprovoked,1,swimming,['swimming'],bit leg,['leg'],other: teeth marks,M,Unknown,shook shark off leg,Unknown,media outlet,bull shark (Carcharhinus leucas)
"41,3,1869,injured,SA,-34.13333333333333,137.45,coastal,2.2,provoked,1,fishing,""['fishing', 'catch']"",bit victim on foot,['foot'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,broadnose sevengill shark (Notorynchus cepedianus)"
42,1,1870,injured,QLD,-27.466666666666665,153.01666666666668,river,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['thigh'],major lacerations,M,17.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"43,5,1870,injured,QLD,-27.083333333333332,153.4,coastal,Unknown,provoked,1,spearfishing,""['fishing', 'spearfishing', 'baitfish']"",bit victim on leg,['leg'],minor lacerations,M,13.0,Unknown,Unknown,media outlet,whaler shark (Carcharhinidae)"
44,1,1872,injured,QLD,-25.8,153.01666666666668,coastal,Unknown,unprovoked,1,swimming,[],bit victim,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,Unknown
45,2,1873,uninjured,SA,-34.833333333333336,138.46666666666667,coastal,Unknown,unprovoked,1,boating,[],bit canoe,['uninjured'],Unknown,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
"46,1,1874,injured,NSW,-33.86666666666667,151.2,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on leg,""['foot', 'calf']"",major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)"
47,11,1874,injured,QLD,-25.5,152.71666666666667,river,3.0,unprovoked,1,swimming,[],bit victim on leg,['thigh'],other: teeth marks,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
48,11,1874,injured,NSW,-33.0,151.71666666666667,coastal,2.0,provoked,1,swimming,[],bit victim on foot,['foot'],minor lacerations,M,Unknown,Unknown,1900.0,media outlet,wobbegong (Orectolobidae)
49,7,1875,injured,NSW,-29.416666666666668,153.33333333333334,river,Unknown,unprovoked,1,swimming,['swimming'],bit victim,[],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
50,10,1875,fatal,QLD,-10.25,142.11666666666667,deep_coast,Unknown,provoked,1,snorkeling,[],bit victim on leg,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
51,11,1875,injured,NSW,-29.4,153.33333333333334,island,Unknown,provoked,1,swimming,['catch'],bit foot,['foot'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
52,12,1875,injured,NSW,-29.4,153.33333333333334,river,Unknown,unprovoked,1,swimming,[],bit leg,['leg'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
53,1,1876,injured,WA,-20.7,117.25,river,Unknown,provoked,Unknown,snorkeling,[],bit victim on leg,['thigh'],major lacerations,M,36.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
54,1,1876,injured,VIC,-37.86666666666667,144.96666666666667,coastal,Unknown,unprovoked,1,swimming,[],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
55,2,1876,fatal,QLD,-10.25,142.11666666666667,coastal,Unknown,provoked,1,snorkeling,[],bit victim in half,['torso'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"56,2,1876,fatal,VIC,-37.85,144.95,deep_coast,4.0,unprovoked,1,swimming,['swimming'],bit victim on leg,""['leg', 'pelvic region']"",major lacerations,M,18.0,Unknown,600.0,media outlet,white shark (Carcharodon carcharias)"
57,7,1876,uninjured,NSW,-33.85,151.2,coastal,4.3,provoked,1,diving,['metal_helmet'],circled diver,['uninjured'],Unknown,M,Unknown,pushed at shark with shovel,Unknown,media outlet,whaler shark (Carcharhinidae)
58,12,1876,injured,NSW,-32.766666666666666,151.7,island,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
59,1,1877,fatal,VIC,-37.833333333333336,144.93333333333334,coastal,Unknown,unprovoked,1,swimming,[],Unknown,[],major lacerations,M,30.0,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
60,1,1877,injured,VIC,-38.38333333333333,142.48333333333332,coastal,Unknown,unprovoked,1,swimming,['swimming'],bit victim on foot,['foot'],minor lacerations,F,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
"61,3,1877,injured,VIC,-38.1,144.65,coastal,Unknown,unprovoked,1,swimming,[],bit victim on leg,""['foot', 'thigh']"",major lacerations,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)"
62,12,1877,injured,NSW,-33.86666666666667,151.2,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on leg,['leg'],major lacerations,M,12.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"63,12,1877,injured,SA,-34.733333333333334,138.03333333333333,coastal,1.2,provoked,1,swimming,""['swimming', 'Nearby Dog']"",bit leg,['leg'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,Unknown"
64,1,1878,injured,QLD,-9.633333333333333,142.68333333333334,island,Unknown,provoked,1,snorkeling,[],Unknown,[],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
65,3,1878,injured,VIC,-38.38333333333333,142.5,river,3.2,unprovoked,1,swimming,[],bit victim on back,['torso'],minor lacerations,M,Unknown,swam to shore,Unknown,media outlet,whaler shark (Carcharhinidae)
"66,7,1878,injured,QLD,-25.8,153.05,coastal,Unknown,provoked,1,fishing,""['fishing', 'catch', 'baitfish']"",bit victim on leg,['calf'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)"
67,11,1878,injured,NSW,-33.85,151.15,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim,[],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
68,6,1879,fatal,NSW,-33.86666666666667,151.2,deep_coast,Unknown,unprovoked,1,swimming,[],bit legs,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
69,11,1879,injured,NSW,-29.4,153.33333333333334,deep_coast,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['thigh'],major lacerations,M,15.0,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
70,1,1880,fatal,QLD,-16.9,145.98333333333332,island,Unknown,unprovoked,1,swimming,[],bit victim in half,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
71,1,1880,injured,NSW,-33.083333333333336,151.5,deep_coast,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['foot'],major lacerations,F,13.0,Unknown,1700.0,media outlet,bull shark (Carcharhinus leucas)
72,1,1880,injured,QLD,-27.516666666666666,152.9,river,Unknown,unprovoked,1,swimming,[],bit leg,['leg'],minor lacerations,M,22.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
73,11,1880,fatal,QLD,-27.466666666666665,153.03333333333333,river,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['leg'],major lacerations,M,15.0,Unknown,1700.0,witness account,bull shark (Carcharhinus leucas)
74,1,1881,uninjured,NSW,-31.066666666666666,152.63333333333333,deep_coast,3.5,unprovoked,1,swimming,[],swam towards victims,['uninjured'],Unknown,F,Unknown,moved onto beach,Unknown,media outlet,bull shark (Carcharhinus leucas)
75,1,1881,injured,QLD,-25.25,152.85,coastal,Unknown,unprovoked,1,Unknown,['baiting'],bit victim on leg,['foot'],major lacerations,F,16.0,hit at shark,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"76,8,1881,injured,QLD,-20.0,148.8,ocean,Unknown,provoked,1,spearfishing,""['fishing', 'spearfishing']"",bit leg,['leg'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
77,11,1881,fatal,NSW,-33.86666666666667,151.23333333333332,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
78,12,1881,injured,QLD,-24.833333333333332,152.11666666666667,river,Unknown,unprovoked,1,swimming,[],bit  victim on arm,['arm'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
