,Incident.month,Incident.year,Victim.injury,State,Latitude,Longitude,Site.category,Shark.length.m,Provoked/unprovoked,No.sharks,Victim.activity,Present.at.time.of.bite,Shark.behaviour,Injury.location,Injury.severity,Victim.gender,Victim.age,Diversionary.action.taken,Time.of.incident,Data.source,Shark.name
320,1,1934,uninjured,QLD,-20.0,148.45,island,Unknown,provoked,1,snorkeling,['Nearby dolphins'],attacked victim,['uninjured'],Unknown,M,Unknown,fought off shark with harpoon,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"321,2,1934,injured,QLD,-10.6,142.61666666666667,island,2.8,provoked,2,spearfishing,""['fishing', 'spearfishing', 'baitfish']"",attempted to bite leg,['thigh'],abrasion,M,Unknown,punched and kicked shark,Unknown,book,tiger shark (Galeocerdo cuvier)"
"322,3,1934,fatal,NSW,-33.75,151.3,coastal,4.0,unprovoked,1,swimming,['swimming'],bit victim on legs,""['leg', 'pelvic region']"",major lacerations,M,17.0,Unknown,1500.0,media outlet,white shark (Carcharodon carcharias)"
323,4,1934,injured,QLD,-28.15,153.48333333333332,coastal,2.0,unprovoked,1,swimming,[],bit victim on leg,['calf'],minor lacerations,M,34.0,Unknown,920.0,media outlet,tiger shark (Galeocerdo cuvier)
"324,4,1934,fatal,NSW,-33.78333333333333,151.28333333333333,coastal,3.5,unprovoked,1,swimming,[],bit victim on leg,""['torso', 'leg']"",major lacerations,M,16.0,Unknown,1230.0,media outlet,white shark (Carcharodon carcharias)"
325,8,1934,fatal,QLD,-18.233333333333334,146.31666666666666,coastal,Unknown,unprovoked,3,swimming,[],bit victim on body,['torso'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
326,10,1934,fatal,QLD,-9.966666666666667,143.26666666666668,island,Unknown,provoked,Unknown,snorkeling,[],bit  victim on arm,['arm'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"327,10,1934,fatal,NT,-11.666666666666666,132.51666666666668,coastal,4.5,unprovoked,1,swimming,['swimming'],bit victim on leg,""['arm', 'torso', 'thigh']"",major lacerations,F,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
328,12,1934,injured,NSW,-33.95,151.96666666666667,river,3.6,unprovoked,1,swimming,[],bit victim on arms,['arm'],major lacerations,F,13.0,Unknown,2000.0,media outlet,bull shark (Carcharhinus leucas)
329,12,1934,fatal,NSW,-33.93333333333333,150.96666666666667,river,3.6,unprovoked,1,swimming,['baitfish'],bit victim on leg,['calf'],major lacerations,M,20.0,Unknown,1630.0,media outlet,bull shark (Carcharhinus leucas)
330,12,1934,fatal,NSW,-33.483333333333334,151.3,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on body,['torso'],Unknown,M,14.0,Unknown,1300.0,media outlet,bull shark (Carcharhinus leucas)
331,12,1934,injured,NSW,-33.483333333333334,151.3,deep_coast,Unknown,unprovoked,1,swimming,[],grazed victim with fin,['leg'],abrasion,F,12.0,Unknown,1300.0,media outlet,bull shark (Carcharhinus leucas)
332,1,1935,fatal,QLD,-10.566666666666666,142.21666666666667,island,Unknown,unprovoked,Unknown,swimming,[],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,book,tiger shark (Galeocerdo cuvier)
333,2,1935,injured,NSW,-34.3,150.93333333333334,coastal,Unknown,unprovoked,1,boarding,['boarding'],Unknown,['thigh'],minor lacerations,M,20.0,Unknown,1730.0,media outlet,white shark (Carcharodon carcharias)
"334,3,1935,fatal,NSW,-33.93333333333333,151.25,coastal,4.2,unprovoked,1,swimming,[],bit victim on torso,""['arm', 'torso', 'pelvic region']"",major lacerations,M,Unknown,Unknown,1230.0,media outlet,white shark (Carcharodon carcharias)"
"335,3,1935,injured,QLD,-21.166666666666668,149.23333333333332,coastal,Unknown,unprovoked,1,snorkeling,[],bit victim on body,""['leg', 'pelvic region']"",other: teeth marks,M,Unknown,Unknown,Unknown,media outlet,whaler shark (Carcharhinidae)"
"336,3,1935,injured,QLD,-14.666666666666666,145.45,island,3.2,provoked,1,snorkeling,[],bit thigh,""['hand', 'thigh']"",major lacerations,M,Unknown,pushed shark away,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
337,3,1935,fatal,NSW,-33.7,151.3,coastal,4.2,unprovoked,1,swimming,['swimming'],bit victim on leg,['thigh'],major lacerations,M,22.0,Unknown,1730.0,media outlet,white shark (Carcharodon carcharias)
"338,5,1935,injured,QLD,-9.4,142.66666666666666,island,Unknown,provoked,Unknown,snorkeling,[],Unknown,""['arm', 'hand']"",minor lacerations,M,Unknown,Unknown,Unknown,book,whaler shark (Carcharhinidae)"
339,8,1935,fatal,QLD,-9.4,142.66666666666666,coastal,Unknown,provoked,1,snorkeling,[],Unknown,['thigh'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"340,11,1935,injured,QLD,-17.533333333333335,146.01666666666668,island,Unknown,provoked,1,snorkeling,[],bit victim on torso,""['arm', 'shoulder']"",minor lacerations,M,Unknown,hid from shark behind coral head,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
341,1,1936,uninjured,NSW,-33.88333333333333,151.26666666666668,coastal,3.5,provoked,1,boarding,[],swam towards victim,['uninjured'],Unknown,M,Unknown,hit shark with paddle,Unknown,book,white shark (Carcharodon carcharias)
342,1,1936,injured,WA,-20.666666666666668,117.18333333333334,coastal,Unknown,provoked,1,snorkeling,[],bit victim on leg,['leg'],major lacerations,M,Unknown,Unknown,Unknown,book,tiger shark (Galeocerdo cuvier)
343,1,1936,fatal,SA,-34.9,137.0,coastal,Unknown,unprovoked,1,swimming,[],bit victim on body,['torso'],Unknown,M,16.0,Unknown,1800.0,media outlet,white shark (Carcharodon carcharias)
344,2,1936,fatal,NSW,-33.78333333333333,151.28333333333333,coastal,6.0,unprovoked,1,swimming,['swimming'],Unknown,['unrecovered_body'],Unknown,M,14.0,Unknown,1500.0,media outlet,white shark (Carcharodon carcharias)
345,2,1936,uninjured,QLD,-27.433333333333334,153.08333333333334,river,3.1,unprovoked,1,boating,[],bit scull near stern ,['uninjured'],Unknown,M,Unknown,paddled to shore,Unknown,media outlet,bull shark (Carcharhinus leucas)
346,3,1936,injured,QLD,-12.783333333333333,143.6,island,Unknown,provoked,1,snorkeling,[],bit victim on arm,['arm'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"347,3,1936,injured,QLD,-12.166666666666666,143.38333333333333,river,Unknown,unprovoked,Unknown,swimming,[],Unknown,""['arm', 'hand']"",minor lacerations,M,Unknown,Unknown,Unknown,book,whaler shark (Carcharhinidae)"
"348,4,1936,injured,QLD,-16.7,146.05,ocean,4.0,provoked,1,snorkeling,[],bit  victim on arm,""['arm', 'torso', 'foot']"",major lacerations,M,16.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
349,5,1936,injured,QLD,-20.816666666666666,149.48333333333332,coastal,Unknown,provoked,Unknown,snorkeling,[],bit victim,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,Unknown
350,6,1936,fatal,QLD,-10.6,142.21666666666667,island,Unknown,provoked,1,snorkeling,['snorkelling'],bit victim on chest ,['torso'],major lacerations,M,16.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
351,7,1936,injured,QLD,-20.816666666666666,149.48333333333332,coastal,Unknown,provoked,1,snorkeling,[],bit victim on torso,['torso'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
352,8,1936,injured,QLD,-9.95,142.18333333333334,island,Unknown,provoked,Unknown,snorkeling,[],Unknown,['foot'],other: teeth marks,M,Unknown,kicked shark,Unknown,book,whaler shark (Carcharhinidae)
353,11,1936,injured,WA,-31.983333333333334,115.53333333333333,island,Unknown,provoked,1,swimming,[],bit leg,['leg'],minor lacerations,M,Unknown,pulled shark from leg,Unknown,media outlet,wobbegong (Orectolobidae)
354,11,1936,injured,NSW,-33.95,151.15,coastal,1.2,unprovoked,1,swimming,[],bit foot,['foot'],minor lacerations,M,16.0,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
"355,12,1936,fatal,NSW,-32.9,151.75,deep_coast,3.0,unprovoked,1,swimming,""['swimming', 'baitfish']"",bit victim on leg,['leg'],major lacerations,M,16.0,Unknown,1130.0,media outlet,bull shark (Carcharhinus leucas)"
356,1,1937,injured,QLD,-10.583333333333334,142.21666666666667,island,Unknown,unprovoked,Unknown,swimming,[],Unknown,[],major lacerations,M,Unknown,Unknown,Unknown,book,tiger shark (Galeocerdo cuvier)
"357,2,1937,fatal,NSW,-32.93333333333333,151.75,coastal,Unknown,unprovoked,1,swimming,['swimming'],bit victim on body,""['torso', 'leg']"",major lacerations,M,32.0,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)"
358,2,1937,injured,NSW,-30.916666666666668,153.08333333333334,coastal,Unknown,unprovoked,1,swimming,['swimming'],bit victim on foot,['foot'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
"359,5,1937,fatal,QLD,-19.45,146.6,deep_coast,Unknown,unprovoked,Unknown,swimming,[],Unknown,""['hand', 'leg']"",major lacerations,M,33.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)"
360,8,1937,injured,QLD,-9.95,142.18333333333334,island,Unknown,provoked,1,snorkeling,[],bit victim on head,['head'],major lacerations,M,Unknown,gouged eye of shark,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
361,10,1937,injured,NSW,-28.633333333333333,153.61666666666667,coastal,3.0,unprovoked,1,swimming,['swimming'],aggressive towards another person,['torso'],other: teeth marks,M,16.0,pushed shark away,Unknown,media outlet,white shark (Carcharodon carcharias)
"362,10,1937,fatal,QLD,-28.166666666666668,153.51666666666668,coastal,4.6,unprovoked,1,swimming,['swimming'],bit victim on body,""['arm', 'torso', 'leg']"",major lacerations,M,18.0,Unknown,1715.0,media outlet,tiger shark (Galeocerdo cuvier)"
363,10,1937,fatal,QLD,-28.166666666666668,153.51666666666668,coastal,4.6,unprovoked,1,swimming,['swimming'],bit victim on body,['torso'],major lacerations,M,18.0,kicked shark,1715.0,media outlet,tiger shark (Galeocerdo cuvier)
364,11,1937,injured,QLD,-23.383333333333333,150.51666666666668,river,Unknown,unprovoked,1,swimming,[],grazed victim on leg,['leg'],abrasion,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"365,11,1937,injured,QLD,-18.533333333333335,146.23333333333332,island,Unknown,provoked,1,snorkeling,['catch'],bit victim on leg,""['foot', 'calf']"",major lacerations,M,17.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
366,1,1938,injured,QLD,-18.133333333333333,146.25,island,2.7,provoked,1,fishing,[],bit victim on leg,['thigh'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"367,1,1938,injured,NSW,-33.85,151.25,deep_coast,1.7,provoked,1,swimming,[],bit victim as he jumped into the water,""['leg', 'foot']"",major lacerations,M,24.0,kicked at shark,Unknown,media outlet,bull shark (Carcharhinus leucas)"
368,1,1938,uninjured,NSW,-34.03333333333333,151.15,coastal,3.6,unprovoked,1,boarding,['boarding'],bit surf ski,['uninjured'],Unknown,M,Unknown,climbed back onto ski,Unknown,media outlet,white shark (Carcharodon carcharias)
369,3,1938,injured,NT,-12.033333333333333,134.2,deep_coast,Unknown,unprovoked,1,boating,[],bit leg,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,whaler shark (Carcharhinidae)
370,6,1938,fatal,QLD,-10.566666666666666,142.16666666666666,island,Unknown,provoked,Unknown,diving,[],Unknown,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,Unknown
371,7,1938,fatal,NT,-11.4,130.4,island,Unknown,provoked,Unknown,diving,[],Unknown,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,whaler shark (Carcharhinidae)
372,10,1938,injured,QLD,-27.433333333333334,153.16666666666666,coastal,1.8,provoked,1,fishing,[],bit victim on foot,['foot'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
373,11,1938,injured,QLD,-27.35,153.11666666666667,coastal,1.2,provoked,1,swimming,[],bit ankle,['foot'],other: teeth marks,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
374,1,1939,uninjured,NSW,-29.416666666666668,152.33333333333334,river,2.1,provoked,1,fishing,['catch'],swam towards victim,['uninjured'],Unknown,M,11.0,hit shark with prawn shoop,Unknown,media outlet,bull shark (Carcharhinus leucas)
375,9,1939,injured,QLD,-9.95,142.16666666666666,island,Unknown,provoked,1,snorkeling,[],bit victim on leg,['leg'],major lacerations,M,17.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
376,10,1939,injured,QLD,-16.716666666666665,154.68333333333334,island,Unknown,unprovoked,1,swimming,[],bit foot,['foot'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,Unknown
377,10,1939,injured,QLD,-12.616666666666667,143.45,island,4.3,provoked,1,snorkeling,[],bit victim on right thigh,['thigh'],major lacerations,M,27.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
378,12,1939,injured,NSW,-33.983333333333334,151.06666666666666,river,1.8,unprovoked,1,swimming,[],brushed past victim,['leg'],surface wound,M,40.0,kicked at shark,Unknown,media outlet,bull shark (Carcharhinus leucas)
"379,12,1939,fatal,QLD,-21.166666666666668,149.23333333333332,deep_coast,2.6,unprovoked,1,swimming,[],bit victim on leg,""['leg', 'foot']"",major lacerations,M,20.0,kicked shark,1215.0,media outlet,bull shark (Carcharhinus leucas)"
380,1,1940,injured,QLD,-10.566666666666666,142.21666666666667,island,Unknown,provoked,1,snorkeling,['catch'],bit victim on head,['head'],major lacerations,M,Unknown,gouged sharks eyes,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"381,1,1940,injured,QLD,-27.483333333333334,153.01666666666668,river,Unknown,unprovoked,1,swimming,[],bit victim on shoulder,""['shoulder', 'torso']"",minor lacerations,M,17.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)"
"382,1,1940,injured,QLD,-28.0,153.41666666666666,coastal,Unknown,unprovoked,1,swimming,[],bit victim on torso,""['arm', 'torso']"",minor lacerations,M,22.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
"383,1,1940,fatal,NSW,-33.95,151.15,deep_coast,3.1,unprovoked,1,swimming,[],bit victim on leg,""['torso', 'leg']"",major lacerations,M,13.0,Unknown,1040.0,media outlet,tiger shark (Galeocerdo cuvier)"
384,2,1940,fatal,NSW,-33.95,151.15,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on arm,['arm'],major lacerations,M,55.0,Unknown,1400.0,media outlet,bull shark (Carcharhinus leucas)
385,3,1940,injured,NSW,-34.733333333333334,150.83333333333334,coastal,Unknown,provoked,1,snorkeling,[],bit victim on foot,['foot'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
386,5,1940,injured,QLD,-21.4,150.53333333333333,island,Unknown,unprovoked,1,swimming,[],bit victim (unknown location),[],minor lacerations,M,56.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
387,12,1940,fatal,NSW,-32.85,151.83333333333334,coastal,Unknown,unprovoked,1,swimming,[],Unknown,['torso'],major lacerations,M,23.0,Unknown,900.0,book,tiger shark (Galeocerdo cuvier)
388,10,1941,injured,QLD,-10.566666666666666,142.21666666666667,island,Unknown,unprovoked,1,swimming,[],bit victim,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
389,10,1941,fatal,QLD,-10.116666666666667,142.13333333333333,island,Unknown,unprovoked,1,swimming,['swimming'],bit victim,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
390,11,1941,injured,WA,-26.466666666666665,110.26666666666667,ocean,Unknown,unprovoked,1,swimming,[],bit victim on leg,['leg'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,Unknown
391,12,1941,injured,WA,-24.883333333333333,113.65,deep_coast,Unknown,unprovoked,1,swimming,['swimming'],bit victim on foot,['foot'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
392,1,1942,fatal,NSW,-33.766666666666666,151.21666666666667,deep_coast,4.0,unprovoked,1,swimming,[],bit victim on body,['torso'],major lacerations,F,28.0,Unknown,1500.0,media outlet,bull shark (Carcharhinus leucas)
393,1,1942,uninjured,NSW,-33.78333333333333,151.28333333333333,coastal,3.0,provoked,1,boarding,[],bit surf ski paddle,['uninjured'],Unknown,M,Unknown,hit water near shark/paddle,Unknown,media outlet,white shark (Carcharodon carcharias)
394,5,1942,injured,QLD,-17.7,146.51666666666668,coastal,2.1,provoked,1,snorkeling,[],bit victim on arm,['arm'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
395,8,1942,injured,QLD,-20.083333333333332,148.88333333333333,island,Unknown,provoked,1,snorkeling,[],bit victim on knee,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,Unknown
396,9,1942,injured,QLD,-16.783333333333335,145.7,coastal,3.0,unprovoked,1,swimming,[],bit victim on leg,['leg'],major lacerations,M,24.0,Unknown,1630.0,media outlet,tiger shark (Galeocerdo cuvier)
397,12,1942,fatal,NSW,-33.766666666666666,151.21666666666667,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on leg,['leg'],major lacerations,F,15.0,swam away,1050.0,media outlet,bull shark (Carcharhinus leucas)
398,1,1943,injured,NT,-12.466666666666667,130.83333333333334,coastal,Unknown,unprovoked,1,swimming,[],bit victim on back,['torso'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
399,1,1944,injured,NSW,-32.166666666666664,152.51666666666668,coastal,Unknown,unprovoked,1,boarding,[],bit victim & board,['leg'],major lacerations,M,14.0,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
"400,2,1945,injured,NSW,-33.95,151.25,coastal,1.3,provoked,1,fishing,['cleaning'],bit victim on hand,""['arm', 'hand']"",minor lacerations,M,24.0,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)"
401,6,1945,fatal,QLD,-16.716666666666665,145.66666666666666,coastal,Unknown,unprovoked,1,swimming,[],bit victim ,[],Unknown,M,Unknown,Unknown,1600.0,media outlet,tiger shark (Galeocerdo cuvier)
402,1,1946,injured,QLD,-19.25,146.81666666666666,coastal,Unknown,unprovoked,1,swimming,['swimming'],bit victim on foot,['foot'],minor lacerations,M,12.0,Unknown,Unknown,media outlet,Unknown
403,1,1946,fatal,NSW,-33.983333333333334,151.08333333333334,river,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['leg'],major lacerations,F,14.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"404,2,1946,injured,WA,-31.933333333333334,115.75,coastal,4.2,unprovoked,1,swimming,['swimming'],bit victim on leg,""['foot', 'calf', 'thigh']"",major lacerations,M,18.0,Unknown,1215.0,media outlet,white shark (Carcharodon carcharias)"
"405,4,1946,fatal,QLD,-16.783333333333335,145.7,coastal,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,""['arm', 'leg']"",major lacerations,M,17.0,Unknown,830.0,media outlet,tiger shark (Galeocerdo cuvier)"
406,8,1946,fatal,QLD,-16.716666666666665,145.63333333333333,coastal,4.75,unprovoked,1,swimming,['swimming'],bit victim on body,['torso'],major lacerations,M,30.0,Unknown,1520.0,media outlet,tiger shark (Galeocerdo cuvier)
407,10,1946,injured,NSW,-33.05,151.63333333333333,deep_coast,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['leg'],minor lacerations,M,15.0,Unknown,1300.0,media outlet,bull shark (Carcharhinus leucas)
408,11,1946,fatal,QLD,-10.566666666666666,142.21666666666667,island,Unknown,provoked,1,snorkeling,[],bit victim on arm,['arm'],major lacerations,M,30.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"409,12,1946,injured,SA,-34.96666666666667,138.5,coastal,Unknown,unprovoked,1,swimming,[],bit victim on hand,""['arm', 'hand']"",minor lacerations,M,23.0,hit out at shark with piece of wood,Unknown,media outlet,white shark (Carcharodon carcharias)"
410,7,1947,uninjured,NT,-12.45,130.78333333333333,deep_coast,Unknown,provoked,Unknown,diving,[],Unknown,['uninjured'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
411,10,1947,injured,QLD,-16.55,139.4,island,Unknown,unprovoked,1,standing,[],Unknown,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
412,11,1947,fatal,NSW,-31.333333333333332,152.83333333333334,river,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['leg'],major lacerations,M,12.0,Unknown,1600.0,media outlet,bull shark (Carcharhinus leucas)
413,11,1947,injured,NSW,-31.333333333333332,152.83333333333334,river,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['foot'],minor lacerations,M,13.0,Unknown,1600.0,media outlet,bull shark (Carcharhinus leucas)
"414,12,1947,injured,NSW,-31.7,152.75,deep_coast,2.0,provoked,1,fishing,""['fishing', 'catch']"",bit victims leg,['thigh'],minor lacerations,M,9.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)"
415,1,1948,injured,WA,-31.983333333333334,115.53333333333333,island,0.8,provoked,1,swimming,[],bit leg,['leg'],other: teeth marks,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
"416,2,1948,fatal,NSW,-32.85,151.83333333333334,coastal,4.0,unprovoked,1,swimming,['swimming'],bit victim on leg & back,""['torso', 'leg']"",major lacerations,M,16.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
417,11,1948,injured,QLD,-9.633333333333333,142.68333333333334,island,Unknown,provoked,1,snorkeling,[],bit leg,['leg'],major lacerations,M,41.0,gouged sharks eye,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"418,12,1948,fatal,QLD,-26.8,153.13333333333333,coastal,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,""['arm', 'leg', 'pelvic region']"",major lacerations,M,28.0,punched and kicked shark,1130.0,media outlet,tiger shark (Galeocerdo cuvier)"
"419,12,1948,uninjured,NSW,-33.85,151.25,deep_coast,2.0,provoked,1,spearfishing,""['fishing', 'spearfishing']"",circled victim,['uninjured'],Unknown,M,Unknown,speared shark,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
"420,1,1949,uninjured,NSW,-33.88333333333333,151.26666666666668,coastal,Unknown,provoked,2,boarding,""['boarding', 'catch', 'baitfish', 'Nearby shark/s']"",swam under victim on board,['uninjured'],Unknown,M,32.0,paddled away from shark,Unknown,media outlet,whaler shark (Carcharhinidae)"
421,1,1949,injured,NSW,-29.1,153.43333333333334,coastal,Unknown,provoked,1,Unknown,[],bit leg,['leg'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
422,1,1949,uninjured,NSW,-33.666666666666664,151.3,coastal,3.0,unprovoked,1,boarding,['boarding'],knocked victim off board,['uninjured'],Unknown,M,0.0,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
"423,1,1949,fatal,NSW,-32.93333333333333,151.75,coastal,4.0,unprovoked,1,swimming,['swimming'],bit victim on leg,""['hand', 'leg']"",major lacerations,M,20.0,punched and kicked shark,1500.0,ASAF questionnaire,white shark (Carcharodon carcharias)"
424,2,1949,uninjured,NSW,-33.65,151.31666666666666,coastal,3.6,unprovoked,1,boarding,['boarding'],bumped ski,['uninjured'],Unknown,M,Unknown,climbed back onto ski,Unknown,media outlet,white shark (Carcharodon carcharias)
425,4,1949,fatal,QLD,-16.716666666666665,145.63333333333333,coastal,3.6,unprovoked,1,swimming,['swimming'],bit victim on leg,['leg'],major lacerations,M,13.0,Unknown,1330.0,media outlet,tiger shark (Galeocerdo cuvier)
426,5,1949,injured,WA,-17.966666666666665,122.16666666666667,coastal,2.7,unprovoked,1,swimming,['swimming'],bit victim on arm,['arm'],major lacerations,F,22.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
427,8,1949,injured,TAS,-40.11666666666667,148.93333333333334,island,Unknown,unprovoked,1,swimming,['Nearby shark/s'],bit victim on leg - thigh,['thigh'],minor lacerations,M,18.0,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
428,8,1949,injured,QLD,-16.816666666666666,145.76666666666668,coastal,Unknown,unprovoked,1,swimming,['swimming'],grazed victim skin,['torso'],abrasion,M,21.0,Unknown,1330.0,media outlet,tiger shark (Galeocerdo cuvier)
429,8,1949,fatal,QLD,-16.816666666666666,145.76666666666668,coastal,Unknown,unprovoked,1,swimming,['swimming'],bit victim on torso,['torso'],major lacerations,M,34.0,punched and kicked shark,1330.0,media outlet,tiger shark (Galeocerdo cuvier)
"430,11,1949,injured,NSW,-34.0,151.2,coastal,2.0,provoked,2,swimming,""['catch', 'Nearby shark/s']"",bit victim on arm,['arm'],minor lacerations,M,36.0,punched shark,Unknown,media outlet,wobbegong (Orectolobidae)"
431,1,1950,injured,VIC,-37.96666666666667,144.7,coastal,Unknown,provoked,1,swimming,[],Unknown,['foot'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
432,4,1950,fatal,QLD,-16.9,145.85,coastal,Unknown,unprovoked,Unknown,swimming,[],Unknown,[],major lacerations,M,50.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"433,11,1950,injured,QLD,-28.1,153.1,coastal,3.6,unprovoked,1,swimming,[],bit victim on body - buttock,""['hand', 'pelvic region']"",major lacerations,M,21.0,hit shark on nose,1700.0,media outlet,bull shark (Carcharhinus leucas)"
434,11,1950,uninjured,QLD,-23.116666666666667,150.73333333333332,coastal,Unknown,unprovoked,1,boating,[],bit canoe,['uninjured'],Unknown,M,18.0,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
"435,12,1950,fatal,QLD,-28.1,153.46666666666667,coastal,Unknown,unprovoked,1,swimming,['swimming'],bit victim on torso,""['torso', 'leg']"",major lacerations,M,20.0,Unknown,1615.0,media outlet,tiger shark (Galeocerdo cuvier)"
"436,2,1951,injured,NSW,-34.53333333333333,150.86666666666667,deep_coast,Unknown,provoked,1,spearfishing,""['fishing', 'spearfishing', 'baitfish']"",grazed victim w/skin,""['torso', 'thigh']"",abrasion,M,20.0,hit shark with knife,Unknown,media outlet,bull shark (Carcharhinus leucas)"
437,2,1951,injured,NSW,-33.88333333333333,151.26666666666668,coastal,1.2,unprovoked,1,swimming,[],bit victim on leg,['leg'],major lacerations,M,14.0,Unknown,Unknown,media outlet,unknown (Orectolobidae)
438,3,1951,injured,NSW,-33.63333333333333,151.31666666666666,coastal,1.8,provoked,1,boarding,['swimming'],bit victim on chest ,['torso'],minor lacerations,M,23.0,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
"439,9,1951,fatal,QLD,-23.383333333333333,150.55,river,Unknown,unprovoked,1,swimming,[],bit victim on torso,""['torso', 'leg']"",major lacerations,M,56.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)"
"440,10,1951,fatal,QLD,-19.233333333333334,146.8,coastal,Unknown,unprovoked,1,swimming,[],bit victim on leg,""['hand', 'torso', 'thigh']"",major lacerations,M,42.0,Unknown,1900.0,media outlet,tiger shark (Galeocerdo cuvier)"
